2026-01-11 10:05:49,393 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:05:49,578 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:56:55,408 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 10:57:12,225 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 10:57:28,596 | get_all_planets_by_id.py | INFO | Error on getting planet 2 id from DB
2026-01-11 10:57:36,728 | get_all_planets_by_id.py | INFO | Error on getting planet 8 id from DB
2026-01-11 10:57:57,827 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 10:58:13,971 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 10:59:15,268 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:59:15,454 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:59:16,322 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 10:59:31,067 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:59:31,184 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:00:24,523 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 11:00:52,594 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:00:52,710 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:01:43,606 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 11:01:47,161 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:01:47,306 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:02:04,174 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:02:04,269 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:05:37,802 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:05:37,894 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:08:03,498 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:08:03,605 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:08:20,929 | get_all_planets_by_id.py | INFO | Error on getting planet 2 id from DB
2026-01-11 11:08:35,387 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:08:35,489 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:10:20,358 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 11:13:49,690 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 11:15:56,757 | get_all_planets_by_id.py | INFO | Error on getting planet 1 id from DB
2026-01-11 11:15:57,508 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:15:57,691 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 11:16:23,213 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 11:16:23,299 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 12:16:48,878 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
