2026-01-11 05:05:08,311 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:05:09,104 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:05:21,290 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:05:21,456 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:05:32,997 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:05:33,512 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:05:52,625 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:05:52,763 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:06:11,336 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:06:11,494 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:06:34,447 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:06:34,714 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:07:02,847 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:07:02,988 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:07:33,240 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:07:33,400 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:08:08,531 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:08:08,701 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:08:49,081 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:08:49,229 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:09:30,226 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:09:30,431 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:10:20,828 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:10:21,010 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:11:25,010 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:11:25,146 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:12:15,983 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:12:16,153 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:13:14,491 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:13:14,692 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:14:17,321 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:14:17,462 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:15:22,589 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:15:22,792 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:16:28,444 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:16:28,599 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:17:40,943 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:17:41,145 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:18:54,545 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:18:54,676 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:20:12,099 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:20:12,256 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:21:04,015 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:21:04,160 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:21:10,333 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:21:10,489 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:21:20,519 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:21:20,658 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:21:39,424 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:21:39,579 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:21:57,355 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:21:57,541 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:22:19,842 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:22:20,002 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:22:45,685 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:22:45,839 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:23:17,340 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:23:17,493 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:23:53,209 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:23:53,396 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:24:33,583 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:24:33,754 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:25:18,095 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:25:18,283 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:26:02,011 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:26:02,151 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:26:49,508 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:26:49,667 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:27:40,040 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:27:40,166 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:28:33,732 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:28:33,866 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:29:30,663 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:29:30,793 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:30:31,807 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:30:31,983 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:31:37,084 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:31:37,242 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:32:44,692 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:32:44,874 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:33:55,663 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:33:55,838 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:35:11,403 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:35:11,554 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:36:06,374 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:36:06,499 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:36:52,296 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:36:52,471 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:37:49,624 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:37:49,839 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:38:49,453 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:38:49,629 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:39:52,704 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:39:52,857 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:40:57,377 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
